受访者ID,创新氛围1,创新氛围2,创新氛围3,工作投入1,工作投入2,工作投入3,领导支持1,领导支持2,领导支持3,创新绩效1,创新绩效2,创新绩效3,年龄,性别
R0032,2.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,52,1
R0033,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,6.0,5.0,5.0,41,1
R0034,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,30,1
R0035,5.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,2.0,6.0,6.0,6.0,48,0
R0036,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,24,0
R0037,3.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,40,1
R0038,4.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,50,1
R0039,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,,54,1
R0040,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,37,0
R0041,4.0,4.0,4.0,5.0,,5.0,3.0,3.0,4.0,4.0,5.0,3.0,27,0
R0042,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,6.0,6.0,7.0,39,0
R0043,6.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,48,1
R0044,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,6.0,5.0,5.0,45,0
R0045,5.0,3.0,3.0,6.0,5.0,2.0,6.0,5.0,6.0,5.0,5.0,5.0,47,0
R0046,6.0,7.0,7.0,3.0,5.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,32,1
R0047,6.0,6.0,5.0,6.0,6.0,1.0,5.0,6.0,6.0,6.0,7.0,5.0,27,0
R0048,5.0,,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,38,1
R0049,4.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,5.0,4.0,3.0,2.0,39,0
R0050,6.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,,43,1
R0051,6.0,6.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,6.0,41,1
R0052,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,23,0
R0053,5.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,26,0
R0054,5.0,6.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,24,1
R0055,5.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,37,0
R0056,6.0,7.0,5.0,6.0,7.0,1.0,5.0,6.0,5.0,6.0,4.0,5.0,29,1
R0057,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,26,1
R0058,6.0,6.0,5.0,2.0,4.0,5.0,,3.0,2.0,5.0,4.0,6.0,40,0
R0059,4.0,6.0,5.0,5.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,4.0,53,0
R0060,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,27,0
R0061,,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,54,0
R0062,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,55,0
R0063,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,53,1
R0064,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,6.0,7.0,6.0,5.0,38,1
R0065,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,6.0,4.0,4.0,48,1
R0066,2.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,41,0
R0067,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,45,1
R0068,4.0,4.0,3.0,4.0,5.0,2.0,6.0,5.0,5.0,4.0,4.0,4.0,34,0
R0069,4.0,6.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,36,1
R0070,3.0,3.0,3.0,2.0,1.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,51,1
R0071,4.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,46,0
R0072,3.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,1.0,38,0
R0073,4.0,5.0,5.0,3.0,3.0,6.0,2.0,3.0,3.0,4.0,4.0,3.0,42,0
R0074,3.0,6.0,3.0,2.0,4.0,6.0,3.0,4.0,5.0,3.0,4.0,4.0,32,0
R0075,7.0,6.0,4.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,4.0,5.0,52,1
R0076,6.0,6.0,6.0,6.0,6.0,2.0,4.0,3.0,4.0,5.0,6.0,6.0,41,0
R0077,2.0,2.0,2.0,1.0,1.0,7.0,6.0,5.0,4.0,3.0,3.0,2.0,39,1
R0078,7.0,7.0,6.0,6.0,7.0,2.0,6.0,6.0,7.0,6.0,6.0,6.0,38,0
R0079,3.0,3.0,3.0,4.0,2.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,50,0
R0080,3.0,4.0,4.0,3.0,3.0,6.0,2.0,3.0,4.0,4.0,3.0,3.0,39,0
R0081,4.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,37,1
R0082,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,48,0
R0083,3.0,3.0,3.0,3.0,3.0,6.0,5.0,4.0,4.0,2.0,2.0,2.0,51,1
R0084,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,47,0
R0085,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,42,0
R0086,5.0,6.0,7.0,5.0,6.0,2.0,5.0,5.0,5.0,6.0,4.0,4.0,50,1
R0087,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,7.0,6.0,7.0,43,1
R0088,4.0,4.0,2.0,6.0,4.0,5.0,2.0,3.0,2.0,3.0,5.0,5.0,39,0
R0089,3.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,28,1
R0090,5.0,4.0,5.0,6.0,6.0,2.0,4.0,6.0,4.0,5.0,4.0,3.0,51,0
R0091,5.0,6.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,48,1
R0092,4.0,4.0,2.0,4.0,3.0,5.0,5.0,6.0,5.0,4.0,5.0,3.0,54,0
R0093,3.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,45,1
R0094,7.0,7.0,4.0,7.0,7.0,2.0,5.0,5.0,4.0,7.0,6.0,5.0,48,0
R0095,5.0,5.0,6.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,43,0
R0096,5.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,35,0
R0097,4.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,44,0
R0098,4.0,3.0,4.0,4.0,3.0,4.0,6.0,5.0,5.0,3.0,3.0,3.0,51,0
R0099,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,26,1
R0100,3.0,4.0,4.0,2.0,1.0,4.0,5.0,6.0,6.0,3.0,3.0,3.0,30,0
R0101,5.0,6.0,4.0,,4.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,43,0
R0102,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,36,1
R0103,3.0,4.0,4.0,,5.0,2.0,3.0,5.0,4.0,3.0,3.0,6.0,30,1
R0104,5.0,4.0,4.0,5.0,4.0,3.0,5.0,6.0,5.0,6.0,6.0,6.0,55,0
R0105,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,40,1
R0106,6.0,7.0,6.0,6.0,5.0,2.0,5.0,4.0,4.0,7.0,7.0,5.0,49,0
R0107,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,6.0,5.0,44,0
R0108,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,39,1
R0109,5.0,4.0,5.0,5.0,7.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,35,1
R0110,4.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,54,0
R0111,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,55,0
R0112,2.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,45,1
R0113,3.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,39,0
R0114,3.0,2.0,3.0,2.0,3.0,6.0,4.0,5.0,4.0,2.0,2.0,3.0,46,0
R0115,5.0,4.0,5.0,5.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,4.0,49,1
R0116,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,35,0
R0117,2.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,46,0
R0118,5.0,6.0,5.0,,5.0,2.0,3.0,5.0,5.0,4.0,3.0,5.0,55,1
R0119,5.0,3.0,5.0,,4.0,2.0,4.0,3.0,3.0,4.0,6.0,6.0,43,0
R0120,3.0,4.0,5.0,4.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,50,1
R0121,3.0,3.0,3.0,3.0,4.0,6.0,3.0,5.0,4.0,4.0,5.0,5.0,51,0
R0122,4.0,4.0,5.0,4.0,3.0,6.0,3.0,5.0,4.0,4.0,4.0,3.0,33,0
R0123,5.0,6.0,4.0,5.0,6.0,3.0,7.0,5.0,7.0,4.0,4.0,5.0,43,1
R0124,2.0,3.0,1.0,3.0,3.0,6.0,4.0,4.0,3.0,2.0,3.0,4.0,25,0
R0125,6.0,6.0,5.0,5.0,5.0,2.0,7.0,6.0,6.0,5.0,4.0,5.0,36,1
R0126,6.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,53,1
R0127,3.0,6.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,38,0
R0128,4.0,4.0,5.0,5.0,6.0,3.0,6.0,5.0,7.0,4.0,5.0,4.0,29,0
R0129,3.0,4.0,,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,,31,1
R0130,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,29,1
R0131,4.0,6.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,6.0,6.0,29,1
R0132,6.0,6.0,7.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,4.0,4.0,44,0
R0133,4.0,2.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,51,1
R0134,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,51,0
R0135,2.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,47,1
R0136,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,51,1
R0137,4.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,1.0,2.0,2.0,36,0
R0138,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,55,1
R0139,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,49,0
R0140,7.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,4.0,6.0,6.0,5.0,47,1
R0141,3.0,1.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,44,1
R0142,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,54,0
R0143,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,,24,1
R0144,2.0,3.0,2.0,4.0,3.0,6.0,3.0,3.0,1.0,3.0,3.0,4.0,28,1
R0145,5.0,5.0,4.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,26,0
R0146,3.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,46,0
R0147,3.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,50,0
R0148,4.0,,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,26,0
R0149,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,4.0,4.0,4.0,38,0
R0150,5.0,7.0,6.0,7.0,7.0,2.0,6.0,5.0,6.0,6.0,5.0,6.0,42,0
R0151,2.0,4.0,4.0,3.0,2.0,6.0,7.0,6.0,7.0,3.0,2.0,1.0,50,0
R0152,4.0,2.0,4.0,3.0,2.0,6.0,4.0,4.0,3.0,4.0,5.0,3.0,53,1
R0153,4.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,49,0
R0154,4.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,25,1
R0155,3.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,29,1
R0156,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,39,1
R0157,3.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,6.0,5.0,5.0,24,1
R0158,4.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,51,1
R0159,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,25,0
R0160,3.0,5.0,4.0,5.0,4.0,4.0,6.0,3.0,3.0,4.0,3.0,5.0,30,1
R0161,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,6.0,5.0,39,1
R0162,5.0,5.0,5.0,3.0,2.0,6.0,3.0,4.0,3.0,4.0,2.0,3.0,53,0
R0163,4.0,5.0,4.0,4.0,5.0,3.0,5.0,6.0,6.0,5.0,4.0,3.0,41,1
R0164,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,54,1
R0165,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,5.0,5.0,50,0
R0166,3.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,1.0,3.0,3.0,24,0
R0167,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,27,1
R0168,7.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,29,0
R0169,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,39,0
R0170,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,4.0,48,1
R0171,3.0,2.0,1.0,2.0,2.0,6.0,3.0,4.0,4.0,1.0,2.0,3.0,51,1
R0172,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,26,0
R0173,6.0,7.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,3.0,4.0,22,0
R0174,4.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,3.0,2.0,3.0,55,0
R0175,4.0,4.0,4.0,6.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,48,0
R0176,3.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,6.0,3.0,4.0,3.0,38,1
R0177,2.0,3.0,3.0,3.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,47,1
R0178,2.0,3.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,46,1
R0179,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,7.0,34,0
R0180,3.0,3.0,3.0,2.0,2.0,6.0,6.0,3.0,4.0,3.0,3.0,4.0,40,0
R0181,6.0,7.0,6.0,5.0,6.0,1.0,7.0,4.0,4.0,3.0,4.0,5.0,32,0
R0182,4.0,5.0,5.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,31,1
R0183,7.0,3.0,4.0,6.0,4.0,3.0,4.0,5.0,4.0,6.0,7.0,5.0,52,1
R0184,3.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,44,1
R0185,4.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,3.0,46,0
R0186,6.0,,6.0,5.0,4.0,4.0,6.0,5.0,3.0,5.0,5.0,5.0,31,1
R0187,6.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,7.0,7.0,6.0,29,1
R0188,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,47,1
R0189,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,35,0
R0190,2.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,48,0
R0191,3.0,5.0,2.0,3.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,22,0
R0192,4.0,6.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,43,0
R0193,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,37,1
R0194,6.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,47,0
R0195,4.0,3.0,2.0,4.0,2.0,6.0,3.0,3.0,5.0,3.0,4.0,3.0,32,1
R0196,2.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,24,0
R0197,5.0,5.0,5.0,6.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,55,1
R0198,4.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,44,0
R0199,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,2.0,53,0
R0200,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,4.0,5.0,4.0,52,0
R0201,3.0,3.0,4.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,26,1
R0202,4.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,46,0
R0203,4.0,3.0,5.0,5.0,5.0,2.0,4.0,6.0,5.0,4.0,5.0,4.0,27,1
R0204,5.0,6.0,5.0,5.0,7.0,2.0,5.0,7.0,6.0,5.0,6.0,5.0,36,0
R0205,7.0,4.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,24,1
R0206,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,47,0
R0207,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,47,0
R0208,5.0,3.0,4.0,3.0,4.0,4.0,5.0,6.0,,6.0,5.0,5.0,23,0
R0209,5.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,54,0
R0210,5.0,5.0,6.0,7.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,7.0,37,1
R0211,2.0,4.0,,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,31,0
R0212,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,26,1
R0213,6.0,4.0,5.0,6.0,5.0,2.0,5.0,5.0,5.0,5.0,6.0,7.0,38,0
R0214,2.0,4.0,3.0,3.0,3.0,5.0,6.0,7.0,5.0,4.0,4.0,3.0,39,0
R0215,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,43,1
R0216,5.0,4.0,4.0,6.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,53,1
R0217,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,51,1
R0218,6.0,4.0,5.0,6.0,5.0,3.0,5.0,4.0,5.0,5.0,6.0,5.0,30,0
R0219,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,36,0
R0220,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,42,0
R0221,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,50,0
R0222,6.0,4.0,4.0,4.0,5.0,3.0,,3.0,3.0,5.0,5.0,5.0,41,0
R0223,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,3.0,2.0,3.0,46,0
R0224,5.0,5.0,,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,29,0
R0225,4.0,2.0,3.0,3.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,38,1
R0226,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,43,1
R0227,4.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,45,1
R0228,4.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,44,0
R0229,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,43,1
R0230,5.0,5.0,5.0,4.0,4.0,6.0,3.0,2.0,2.0,5.0,2.0,4.0,35,1
R0231,5.0,,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,45,1
R0232,6.0,5.0,6.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,37,0
R0233,,3.0,3.0,3.0,4.0,6.0,2.0,3.0,1.0,5.0,,5.0,48,1
R0234,2.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,26,1
R0235,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,6.0,40,1
R0236,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,24,0
R0237,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,38,0
R0238,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,29,0
R0239,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,34,0
R0240,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,47,1
R0241,,1.0,2.0,3.0,1.0,6.0,2.0,5.0,3.0,3.0,2.0,1.0,33,0
R0242,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,44,0
R0243,2.0,2.0,4.0,2.0,3.0,6.0,4.0,5.0,4.0,2.0,4.0,5.0,41,1
R0244,5.0,5.0,4.0,5.0,5.0,3.0,5.0,,6.0,6.0,4.0,5.0,35,1
R0245,5.0,3.0,6.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,6.0,4.0,53,1
R0246,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,53,1
R0247,5.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,52,0
R0248,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,51,0
